,x_movement/pixel,y_movement/pixel,time/seconds
227,987.0,445.0,7.571999046214333
228,987.0,445.0,7.605355870206466
229,987.0,445.0,7.6387126941986
230,987.0,445.0,7.6720695181907335
231,987.0,445.0,7.705426342182867
232,987.0,445.0,7.738783166175001
233,987.0,446.0,7.772139990167134
234,987.0,446.0,7.805496814159268
235,987.0,446.0,7.838853638151401
236,987.0,446.0,7.872210462143535
237,987.0,446.0,7.9055672861356685
238,987.0,446.0,7.938924110127802
239,987.0,447.0,7.972280934119936
240,987.0,447.0,8.00563775811207
241,987.0,447.0,8.038994582104204
242,987.0,447.0,8.072351406096338
243,987.0,447.0,8.105708230088473
244,987.0,448.0,8.139065054080607
245,987.0,448.0,8.172421878072742
246,987.0,448.0,8.205778702064876
247,987.0,448.0,8.23913552605701
248,987.0,448.0,8.272492350049145
249,987.0,448.0,8.30584917404128
250,987.0,449.0,8.339205998033414
251,987.0,449.0,8.372562822025548
252,987.0,449.0,8.405919646017683
253,987.0,449.0,8.439276470009817
254,987.0,449.0,8.472633294001952
255,987.0,449.0,8.505990117994086
256,987.0,450.0,8.53934694198622
257,987.0,450.0,8.572703765978355
258,987.0,450.0,8.60606058997049
259,987.0,450.0,8.639417413962624
260,987.0,450.0,8.672774237954759
261,987.0,451.0,8.706131061946893
262,987.0,451.0,8.739487885939027
263,987.0,451.0,8.772844709931162
264,987.0,451.0,8.806201533923296
265,987.0,451.0,8.83955835791543
266,987.0,451.0,8.872915181907565
267,987.0,452.0,8.9062720058997
268,987.0,452.0,8.939628829891834
269,987.0,452.0,8.972985653883969
270,987.0,452.0,9.006342477876103
271,987.0,452.0,9.039699301868238
272,987.0,453.0,9.073056125860372
273,987.0,453.0,9.106412949852507
274,987.0,453.0,9.139769773844641
275,987.0,453.0,9.173126597836776
276,987.0,453.0,9.20648342182891
277,987.0,453.0,9.239840245821044
278,987.0,454.0,9.273197069813179
279,987.0,454.0,9.306553893805313
280,987.0,454.0,9.339910717797448
281,987.0,454.0,9.373267541789582
282,987.0,454.0,9.406624365781717
283,987.0,454.0,9.439981189773851
284,987.0,455.0,9.473338013765986
285,987.0,455.0,9.50669483775812
286,987.0,455.0,9.540051661750255
287,987.0,455.0,9.57340848574239
288,987.0,455.0,9.606765309734524
289,987.0,456.0,9.640122133726658
290,987.0,456.0,9.673478957718793
291,987.0,456.0,9.706835781710927
292,987.0,456.0,9.740192605703061
293,987.0,456.0,9.773549429695196
294,987.0,456.0,9.80690625368733
295,987.0,457.0,9.840263077679465
296,987.0,457.0,9.8736199016716
297,987.0,457.0,9.906976725663734
298,987.0,457.0,9.940333549655868
299,987.0,457.0,9.973690373648003
300,987.0,457.0,10.007047197640137
301,987.0,458.0,10.040404021632272
302,987.0,458.0,10.073760845624406
303,987.0,458.0,10.10711766961654
304,987.0,458.0,10.140474493608675
305,987.0,458.0,10.17383131760081
306,987.0,459.0,10.207188141592944
307,987.0,459.0,10.240544965585078
308,987.0,459.0,10.273901789577213
309,987.0,459.0,10.307258613569347
310,987.0,459.0,10.340615437561482
311,987.0,459.0,10.373972261553616
312,987.0,460.0,10.40732908554575
313,987.0,460.0,10.440685909537885
314,987.0,460.0,10.47404273353002
315,987.0,460.0,10.507399557522154
316,987.0,460.0,10.540756381514289
317,987.0,460.0,10.574113205506423
318,987.0,461.0,10.607470029498558
319,987.0,461.0,10.640826853490692
320,987.0,461.0,10.674183677482826
321,987.0,461.0,10.707540501474961
322,987.0,461.0,10.740897325467095
323,987.0,461.0,10.77425414945923
324,987.0,462.0,10.807610973451364
325,987.0,462.0,10.840967797443499
326,987.0,462.0,10.874324621435633
327,987.0,462.0,10.907681445427768
328,987.0,462.0,10.941038269419902
329,987.0,463.0,10.974395093412037
330,987.0,463.0,11.007751917404171
331,987.0,463.0,11.041108741396306
332,987.0,463.0,11.07446556538844
333,987.0,463.0,11.107822389380575
334,987.0,463.0,11.141179213372709
335,987.0,464.0,11.174536037364843
336,987.0,464.0,11.207892861356978
337,987.0,464.0,11.241249685349112
338,987.0,464.0,11.274606509341247
339,987.0,464.0,11.307963333333381
340,987.0,464.0,11.341320157325516
341,987.0,465.0,11.37467698131765
342,987.0,465.0,11.408033805309785
343,987.0,465.0,11.44139062930192
344,987.0,465.0,11.474747453294054
345,987.0,465.0,11.508104277286188
346,987.0,465.0,11.541461101278323
347,987.0,466.0,11.574817925270457
348,987.0,466.0,11.608174749262592
349,986.0,466.0,11.641531573254726
350,986.0,466.0,11.67488839724686
351,987.0,466.0,11.708245221238995
352,987.0,466.0,11.74160204523113
353,987.0,467.0,11.774958869223264
354,987.0,467.0,11.808315693215398
355,987.0,467.0,11.841672517207533
356,987.0,467.0,11.875029341199667
357,987.0,467.0,11.908386165191802
358,987.0,467.0,11.941742989183936
359,987.0,468.0,11.97509981317607
360,987.0,468.0,12.008456637168205
361,987.0,468.0,12.04181346116034
362,987.0,468.0,12.075170285152474
363,987.0,468.0,12.108527109144609
364,987.0,468.0,12.141883933136743
365,987.0,469.0,12.175240757128877
366,987.0,469.0,12.208597581121012
367,987.0,469.0,12.241954405113146
368,986.0,469.0,12.27531122910528
369,986.0,469.0,12.308668053097415
370,986.0,469.0,12.34202487708955
371,986.0,470.0,12.375381701081684
372,986.0,470.0,12.408738525073819
373,986.0,470.0,12.442095349065953
374,986.0,470.0,12.475452173058088
375,986.0,470.0,12.508808997050222
376,986.0,470.0,12.542165821042357
377,986.0,470.0,12.575522645034491
378,986.0,471.0,12.608879469026625
379,986.0,471.0,12.64223629301876
380,986.0,471.0,12.675593117010894
381,986.0,471.0,12.708949941003029
382,986.0,471.0,12.742306764995163
383,986.0,471.0,12.775663588987298
384,986.0,472.0,12.809020412979432
385,986.0,472.0,12.842377236971567
386,986.0,472.0,12.875734060963701
387,986.0,472.0,12.909090884955836
388,986.0,472.0,12.94244770894797
389,986.0,472.0,12.975804532940105
390,986.0,472.0,13.009161356932239
391,986.0,472.0,13.042518180924374
392,986.0,472.0,13.075875004916508
393,986.0,473.0,13.109231828908642
394,986.0,473.0,13.142588652900777
395,986.0,473.0,13.175945476892911
396,986.0,473.0,13.209302300885046
397,986.0,473.0,13.24265912487718
398,986.0,473.0,13.276015948869315
399,986.0,473.0,13.30937277286145
400,986.0,474.0,13.342729596853584
401,986.0,474.0,13.376086420845718
402,986.0,474.0,13.409443244837853
403,986.0,474.0,13.442800068829987
404,986.0,474.0,13.476156892822122
405,986.0,474.0,13.509513716814256
406,986.0,474.0,13.54287054080639
407,986.0,475.0,13.576227364798525
408,986.0,475.0,13.60958418879066
409,986.0,475.0,13.642941012782794
410,986.0,475.0,13.676297836774928
411,986.0,475.0,13.709654660767063
412,986.0,475.0,13.743011484759197
413,986.0,476.0,13.776368308751332
414,986.0,476.0,13.809725132743466
415,986.0,476.0,13.8430819567356
416,986.0,476.0,13.876438780727735
417,986.0,476.0,13.90979560471987
418,986.0,476.0,13.943152428712004
419,986.0,477.0,13.976509252704139
420,986.0,477.0,14.009866076696273
421,986.0,477.0,14.043222900688408
422,986.0,477.0,14.076579724680542
423,986.0,477.0,14.109936548672676
424,986.0,477.0,14.143293372664811
425,986.0,478.0,14.176650196656945
426,986.0,478.0,14.21000702064908
427,986.0,478.0,14.243363844641214
428,986.0,478.0,14.276720668633349
429,986.0,478.0,14.310077492625483
430,986.0,479.0,14.343434316617618
431,986.0,479.0,14.376791140609752
432,986.0,479.0,14.410147964601887
433,986.0,479.0,14.443504788594021
434,986.0,479.0,14.476861612586156
435,986.0,479.0,14.51021843657829
436,986.0,479.0,14.543575260570424
437,986.0,480.0,14.576932084562559
438,986.0,480.0,14.610288908554693
439,986.0,480.0,14.643645732546828
440,986.0,480.0,14.677002556538962
441,986.0,480.0,14.710359380531097
442,986.0,481.0,14.743716204523231
443,986.0,481.0,14.777073028515366
444,986.0,481.0,14.8104298525075
445,986.0,481.0,14.843786676499635
446,986.0,481.0,14.87714350049177
447,986.0,481.0,14.910500324483904
